Cuenta;Demanda de clase;Razón no1;Razones que determinan cuantas clases matrículan (no.1);Razón no2;Razones que determinan cuantas clases matrículan (no.2);Razón no3;Razones que determinan cuantas clases matrículan (no.3);Hora 7-9am;Hora 9-11am;Hora 11-1pm;Hora 1-3pm;Hora 3-5pmu;Hora 5-7pm;Hora 7-9pm;Egreso diversificado;¿estudios universitarios?;Universidad matrículado;Univeresidad matrículado otro;Educación Superior;Trabajo;Definir horario;Estado civil:;Sexo:;Cuenta;Campus original;Campus original;campus actual;Marca;CódigoCarrera;NombreCarrera;FACULTAD;CARRERA AGRUPADORA;PeriodoDeIngreso;PeriodoDeIngreso;ClasesAprobadas;ClasesReprobadas;Reprobó;Rango reporbación;ClasesRetiradas;Dscto_Q1 2017;DsctoCole_Q1 2017;DsctoMat_Q1 2017;Período de Ingreso;Q1 2019;Curso mat_promedio;Curso mat_er Q
31751387;Muy alto;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;;No;No;No;No;No;Sí;No;2010;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Nocturno (6:00pm-6:00am);Soltero;Femenino;31751387;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;T-3 ;TÉCNICO UNIVERSITARIO EN MERCADOTECNIA Y VENTAS;FCAS - T;Mercadotecnia;2017-M5;Q4 2017;13;4;4 a 5;si;0;No;No;No;3;2;Bajo;Bajo
31711811;Muy alto;Razón1;Capacidad de pago;Razón2;La carga laboral que tiene ese periodo;Razón3;Disponibilidad de clases en horarios a su conveniencia;No;Sí;Sí;Sí;No;No;No;2014;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Mixto o turnos no definidos;Soltero;Femenino;31711811;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L10A;LICENCIATURA EN DERECHO (EMPRESARIAL);FCAS;Derecho;2017-M1;Q1 2017;22;4;4 a 5;si;1;No;No;No;3;3;#N/A;Igual
31841073;Muy alto;Razón1;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón2;Capacidad de pago;Razón3;Compromisos personales;No;No;No;Sí;Sí;Sí;Sí;2018;No;;;;Sí;Mixto o turnos no definidos;Casado;Masculino;31841073;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L10Q;LICENCIATURA EN DERECHO (COMERCIAL INTERNACIONAL) - PREMIER;FCAS;Derecho;2018-M4;Q3 2018;4;0;0;no;1;No;No;No;3;2;Bajo;Bajo
617111252;Alto;Razón1;Capacidad de pago;Razón2;La carga laboral que tiene ese periodo;Razón3;Disponibilidad de clases en horarios a su conveniencia;No;No;No;No;No;No;Sí;2017;Sí;Centro Universitario Tecnológico CEUTEC;;Esta es la primera carrera de educación superior que está sacanda;Sí;Mixto o turnos no definidos;Soltero;Femenino;617111252;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-15;LICENCIATURA EN CONTADURIA PUBLICA Y FINANZAS;FCAS;Contaduría Pública y Finanzas;2017-M1;Q1 2017;7;0;0;no;0;No;No;No;3;2;Bajo;Bajo
31841495;Alto;Razón1;Compromisos personales;Razón2;;Razón3;;No;No;No;No;No;No;Sí;2012;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;No;Nocturno (6:00pm-6:00am);Soltero;Masculino;31841495;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;T-7 ;TÉCNICO UNIVERSITARIO EN DESARROLLO DE SISTEMAS DE INFORMACIÓN;FCAS - T;Desarrollo de Sistemas IT;2018-M4;Q3 2018;12;1;1;si;0;No;No;No;3;1;Bajo;Bajo
31751348;Alto;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Compromisos personales;No;Sí;No;No;No;No;No;2017;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Femenino;31751348;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-16;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS;FCAS;Administración de Empresas;2017-M5;Q4 2017;7;5;4 a 5;si;1;No;No;No;4;3;Bajo;Bajo
617111082;Regular;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;La carga laboral que tiene ese periodo;Razón3;Capacidad de pago;No;No;No;No;No;No;Sí;;No;;;;Sí;Diurno (6:00am- 6:00pm);Soltero;Masculino;617111082;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-15;LICENCIATURA EN CONTADURIA PUBLICA Y FINANZAS;FCAS;Contaduría Pública y Finanzas;2017-M1;Q1 2017;6;3;2 a 3;si;0;No;No;No;4;2;Bajo;Bajo
31811305;Alto;Razón1;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón2;Compromisos personales;Razón3;Disponibilidad de clases en horarios a su conveniencia;No;Sí;No;No;No;No;No;2017;No;;;;No;Vespertino (12:00m-6:00pm);Soltero;Femenino;31811305;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-12;LICENCIATURA EN DISEÑO GRÁFICO;FCAS;Diseño Gráfico;2018-M1;Q1 2018;10;0;0;no;1;No;No;No;4;3;Igual;Bajo
31711456;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;Compromisos personales;Razón3;Capacidad de pago;No;Sí;Sí;No;No;No;No;2016;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Masculino;31711456;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-12;LICENCIATURA EN DISEÑO GRÁFICO;FCAS;Diseño Gráfico;2017-M1;Q1 2017;10;4;4 a 5;si;1;No;No;No;4;5;#N/A;Subio
31711187;Alto;Razón1;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Compromisos personales;No;Sí;Sí;Sí;Sí;Sí;Sí;2016;No;;;;No;Nocturno (6:00pm-6:00am);Soltero;Masculino;31711187;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M1;Q1 2017;29;0;0;no;0;No;No;No;4;4;#N/A;Igual
