anio_matricula;modulo_matricula;no identificacion;Sexo;Sede;nivel;vertical;clases_matriculadas;anio_ingreso;modulo_ingreso;primera_matricula;ultima_matricula;tipo_ingreso_1
2019;2;8341;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2016;4;2016m4;2019m1;REINGRESO
2019;2;8342;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2016;1;2016m1;2019m1;REINGRESO
2019;2;8343;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2015;4;2015m4;2019m1;REINGRESO
2019;2;8344;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2015;1;2015m1;2018m5;REINGRESO
2019;2;8345;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2014;4;2014m4;2019m1;REINGRESO
2019;2;8346;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2015;2;2015m2;2019m1;REINGRESO
2019;2;8347;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2017;4;2017m4;2019m1;REINGRESO
2019;2;8348;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;1;2017;4;2017m4;2019m1;REINGRESO
2019;2;8349;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2017;4;2017m4;2018m5;REINGRESO
2019;2;8350;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2011;1;2011m1;2018m5;REINGRESO
2019;2;8351;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8352;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8353;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;4;2018m4;2019m1;REINGRESO
2019;2;8354;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;4;2018m4;2019m1;REINGRESO
2019;2;8355;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2018;4;2018m4;2019m1;REINGRESO
2019;2;8356;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;4;2018m4;2019m1;REINGRESO
2019;2;8357;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;2;2018m2;2019m1;REINGRESO
2019;2;8358;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;2;2018m2;2019m1;REINGRESO
2019;2;8359;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;2;2018m2;2019m1;REINGRESO
2019;2;8360;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8361;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8362;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8363;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8364;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8365;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2018;1;2018m1;2019m1;REINGRESO
2019;2;8366;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;1;2018m1;2019m1;REINGRESO
2019;2;8367;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2018;1;2018m1;2019m1;REINGRESO
2019;2;8368;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8369;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;1;2018m1;2019m1;REINGRESO
2019;2;8370;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;1;2018m1;2019m1;REINGRESO
2019;2;8371;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2018;1;2018m1;2019m1;REINGRESO
2019;2;8372;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;1;2018;1;2018m1;2019m1;REINGRESO
2019;2;8373;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8374;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;1;2018m1;2019m1;REINGRESO
2019;2;8375;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2018;1;2018m1;2019m1;REINGRESO
2019;2;8376;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8377;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8378;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8379;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8380;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8381;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;5;2018m5;2019m1;REINGRESO
2019;2;8382;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;5;2018m5;2019m1;REINGRESO
2019;2;8383;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;5;2018m5;2019m1;REINGRESO
2019;2;8384;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;8385;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;4;2018m4;2019m1;REINGRESO
2019;2;8386;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2018;4;2018m4;2019m1;REINGRESO
2019;2;8387;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2018;4;2018m4;2019m1;REINGRESO
2019;2;8388;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;8389;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2018;4;2018m4;2019m1;REINGRESO
2019;2;8390;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;4;2018m4;2019m1;REINGRESO
2019;2;8391;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;4;2018m4;2019m1;REINGRESO
